"gene_symbol","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm9922","ENSMUSG00000053821","#N/A",26.1048158440529,0.230702601884993,0.524513688813748,0.439840955165069,0.660052302716518,0.841177258923311
"Zfp438","ENSMUSG00000050945","240186",105.745543623096,0.100204236521969,0.227909775701683,0.439666250442583,0.660178849779643,0.841225127143035
"Gm8341","ENSMUSG00000115516","#N/A",42.0705211735013,-0.15929428598204,0.362598350890941,-0.439313321725368,0.660434522734953,0.841284580744738
"Mt1","ENSMUSG00000031765","17748",2315.54314941319,-0.244617219567996,0.556755833675137,-0.439361753882814,0.660399434569244,0.841284580744738
"Rev1","ENSMUSG00000026082","56210",848.248739396781,0.0513678097844361,0.116875939195834,0.439507140116887,0.660294109526424,0.841284580744738
"Sanbr","ENSMUSG00000042208","71675",784.399670613802,0.0610835450728466,0.139004480781184,0.439435798972569,0.6603457917705,0.841284580744738
"Gm43300","ENSMUSG00000105572","#N/A",25.6324370676693,0.279928463541378,0.637399571573444,0.439172657192669,0.660536435713706,0.841347833464451
"Gm26493","ENSMUSG00000065089","115487044",12.9648181327789,0.257244768559099,0.58627000183976,0.438782076094368,0.660819448960168,0.841508591968576
"Socs4","ENSMUSG00000048379","67296",1037.23039110132,0.0530833577242586,0.120940764688742,0.438920308308583,0.660719280993366,0.841508591968576
"Gm11560","ENSMUSG00000086688","#N/A",446.239482215011,0.0718384491759586,0.163775115645785,0.438640808725372,0.660921822585125,0.841572393516333
"Gapdh","ENSMUSG00000057666","14433",51259.3798815583,0.0523910174368623,0.1196031962254,0.438040278941441,0.661357085242042,0.84186900531561
"Psma1","ENSMUSG00000030751","26440",4516.5718693582,0.0488484736068873,0.111518342175483,0.438030844558472,0.66136392417589,0.84186900531561
"Wfikkn1","ENSMUSG00000071192","215001",25.3017695471777,0.202324453965335,0.461822108830049,0.4381004072713,0.66131349920082,0.84186900531561
"Afmid","ENSMUSG00000017718","71562",107.754320371619,-0.100200852490286,0.228948772828432,-0.437656211266851,0.661635516687435,0.842036181996271
"Hlcs","ENSMUSG00000040820","110948",257.374704526123,-0.067354570920653,0.153906426371104,-0.437633258784434,0.66165215766676,0.842036181996271
"Uckl1os","ENSMUSG00000010492","100271841",21.8604280114887,0.179532823872143,0.410121825469494,0.437754863854464,0.661563993618467,0.842036181996271
"2410018L13Rik","ENSMUSG00000073164","69732, 105242430",14.2898520381925,-0.23496402500114,0.537162276605822,-0.437417211211875,0.661808804391167,0.84216896543612
"Gm48604","ENSMUSG00000111291","#N/A",26.5564077847033,-0.195319068573462,0.446606929351963,-0.437339986768397,0.661864800077612,0.84217365693903
"Fancf","ENSMUSG00000092118","100040608",167.294125384449,-0.0914270722977601,0.209470174044873,-0.436468211833224,0.662497057935845,0.84257949406731
"Gm14706","ENSMUSG00000083482","#N/A",58.7769207289562,-0.135664223861842,0.310823372245163,-0.436467254318432,0.662497752509198,0.84257949406731
"Gm15764","ENSMUSG00000087556","#N/A",36.7700897889744,0.184573578430234,0.422769470462866,0.436582088645509,0.662414454703385,0.84257949406731
"Slc36a4","ENSMUSG00000043885","234967",660.55860669167,0.0777536548585357,0.178078081721024,0.436626754438786,0.662382056437658,0.84257949406731
"Sun1","ENSMUSG00000036817","77053",3514.55940127936,0.0562205417217525,0.128774557627347,0.436581128738534,0.662415150977395,0.84257949406731
"Ypel1","ENSMUSG00000022773","106369",17.4623742409785,0.280063665894967,0.641541706639597,0.436547870538212,0.662439275183257,0.84257949406731
"Gm37677","ENSMUSG00000103976","#N/A",18.4836890409536,-0.198611985472075,0.455262305855805,-0.436258356814152,0.662649291979092,0.842639096506073
"Gm49886","ENSMUSG00000117027","#N/A",11.5244349173124,0.258871620840242,0.593376707216761,0.436268592433433,0.66264186648326,0.842639096506073
"Mrpl39","ENSMUSG00000022889","27393",1127.76649111156,-0.0761749211258093,0.174718334796378,-0.43598699137435,0.662846167873045,0.842822879699576
"Chpf","ENSMUSG00000032997","74241",1713.73876451118,-0.0926320481036558,0.21251958244994,-0.435875353394672,0.662927168100695,0.842859307148479
"Gm20045","ENSMUSG00000103983","#N/A",27.4540779366796,0.183038355300593,0.420027605016996,0.435776965881055,0.662998557567033,0.842870006211886
"Gm5854","ENSMUSG00000115584","#N/A",22.430452473654,0.207148264352019,0.475416604111723,0.435719456494497,0.66304028749525,0.842870006211886
"Gm15834","ENSMUSG00000085054","100504455",19.8381372541347,0.193587934689607,0.444375605995176,0.435640327861986,0.663097706477556,0.84287644673051
"Ldha-ps","ENSMUSG00000082330","#N/A",26.9360999817053,-0.191793778772799,0.440389193190282,-0.435509730344198,0.66319247772386,0.842930361676336
"Capn15","ENSMUSG00000037326","50817",483.663959339481,-0.0582349692980502,0.133793752656393,-0.435259256443822,0.663374255247486,0.843028298167537
