"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezgene_id","external_gene_name","gene_biotype","external_gene_source","transcript_count","description"
"ENSG00000170296",920.138270705797,-4.32966585712728,0.158900292381651,1.32876451237168e-164,4.88497484983019e-163,"11337","GABARAP","protein_coding","HGNC Symbol",6,"GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]"
"ENSG00000134072",484.388365611277,-3.96830618052984,0.145671929736865,3.08288038885408e-164,1.13154596909226e-162,"8536","CAMK1","protein_coding","HGNC Symbol",6,"calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]"
"ENSG00000112964",1050.69426558286,-8.12015332256761,0.298919369506378,4.06331145986767e-164,1.48901124604782e-162,"2690","GHR","protein_coding","HGNC Symbol",13,"growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]"
"ENSG00000213089",562.406990795388,-6.12849687686846,0.224417223532886,4.43562736133542e-164,1.62284251056551e-162,"NA","PDCL3P5","processed_pseudogene","HGNC Symbol",1,"PDCL3 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:44506]"
"ENSG00000212747",855.307859108379,3.75050375135519,0.137883584303501,4.79211424367571e-164,1.75046349092986e-162,"441518","RTL8B","protein_coding","HGNC Symbol",1,"retrotransposon Gag like 8B [Source:HGNC Symbol;Acc:HGNC:33156]"
"ENSG00000229117",3472.66394003458,6.18574479096415,0.227396296846697,5.11035427096474e-164,1.86372824290935e-162,"6171","RPL41","protein_coding","HGNC Symbol",6,"ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]"
"ENSG00000225338",521.186732381929,-4.23805213449322,0.155906911087407,1.46319449329685e-163,5.32770817894211e-162,"NA","RPL23AP18","processed_pseudogene","HGNC Symbol",1,"ribosomal protein L23a pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:36726]"
"ENSG00000164181",541.361466930114,-4.48723827040017,0.165224348222566,1.66470596443026e-163,6.05178935795267e-162,"79993","ELOVL7","protein_coding","HGNC Symbol",7,"ELOVL fatty acid elongase 7 [Source:HGNC Symbol;Acc:HGNC:26292]"
"ENSG00000269304",738.011481677189,-7.67424425978743,0.281299967117546,1.95522605675604e-163,7.09663129979973e-162,"NA","FKBP1AP1","processed_pseudogene","HGNC Symbol",1,"FKBP prolyl isomerase 1A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3714]"
"ENSG00000242299",2702.74339220193,-3.04582270507595,0.112127781832799,2.3298024440944e-163,8.44276028550401e-162,"NA","AC073861.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein S18 (RPS18) pseudogene"
"ENSG00000234287",910.571028636438,-4.36345837674894,0.16070320889633,2.67899080231282e-163,9.6927670391128e-162,"NA","AC099560.2","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein S27 (RPS27) pseudogene"
"ENSG00000229129",701.513098608976,-4.44704126878459,0.163625511191778,3.98223651281082e-163,1.43851993018151e-161,"NA","ACTG1P2","processed_pseudogene","HGNC Symbol",1,"actin gamma 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:147]"
"ENSG00000123992",2329.03472016298,-2.03138802528074,0.0748899515421036,1.06449308787878e-162,3.83923810367656e-161,"23549","DNPEP","protein_coding","HGNC Symbol",21,"aspartyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:2981]"
"ENSG00000122641",7469.99416776201,2.837068485372,0.104696326059247,1.41070621739413e-162,5.07987743582145e-161,"3624","INHBA","protein_coding","HGNC Symbol",5,"inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]"
"ENSG00000176953",716.19680972002,4.60845753008875,0.170000103575682,1.69606596522326e-162,6.09782456473182e-161,"84901","NFATC2IP","protein_coding","HGNC Symbol",7,"nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906]"
"ENSG00000230584",1468.80320430181,-9.16192189675136,0.336769806438122,2.09438507492276e-162,7.51805208498215e-161,"NA","CCT5P2","processed_pseudogene","HGNC Symbol",1,"chaperonin containing TCP1 subunit 5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35139]"
"ENSG00000164649",969.533859007115,4.11523051439732,0.152154406905445,2.17602283697295e-162,7.79883851932377e-161,"55536","CDCA7L","protein_coding","HGNC Symbol",10,"cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777]"
"ENSG00000242262",914.460568289666,-4.63442140338992,0.17133526645444,2.44616270757549e-162,8.75327501786027e-161,"NA","AC092597.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein L15 (RPL15) pseudogene"
"ENSG00000241255",1203.52359648944,-5.12800936825937,0.189466381712193,4.58242279621846e-162,1.63719424785082e-160,"NA","AL136126.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein S24 (RPS24) pseudogene"
"ENSG00000203943",486.623652631453,-5.49896197685578,0.203209311510152,4.85535966496813e-162,1.73199783048785e-160,"148418","SAMD13","protein_coding","HGNC Symbol",9,"sterile alpha motif domain containing 13 [Source:HGNC Symbol;Acc:HGNC:24582]"
"ENSG00000112378",1684.20742815189,7.97370068771277,0.293303968152961,5.6999243584202e-162,2.03009786431721e-160,"64065","PERP","protein_coding","HGNC Symbol",1,"p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]"
"ENSG00000178715",1056.18253760155,-3.62844275794424,0.134276049414256,6.84817097604046e-162,2.43526080035831e-160,"NA","AL450998.1","processed_pseudogene","Clone-based (Ensembl) gene",1,"ribosomal protein S16 (RPS16) pseudogene"
"ENSG00000253352",1238.50483036351,3.30847358051111,0.122672120646221,2.48307340846576e-161,8.81626219522137e-160,"NA","TUG1","protein_coding","HGNC Symbol",20,"taurine up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:26066]"
"ENSG00000198113",814.316134837052,5.53024895050033,0.204559648367881,6.16621396775577e-161,2.18594200130224e-159,"54863","TOR4A","protein_coding","HGNC Symbol",1,"torsin family 4 member A [Source:HGNC Symbol;Acc:HGNC:25981]"
"ENSG00000152953",742.2202103865,4.13112625413122,0.153451757341909,1.65778228669005e-160,5.86777823335408e-159,"55351","STK32B","protein_coding","HGNC Symbol",8,"serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]"
"ENSG00000130821",2953.05440499842,-2.79706175939196,0.103923424172493,2.1106416964393e-160,7.45912537611599e-159,"6535","SLC6A8","protein_coding","HGNC Symbol",10,"solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]"
"ENSG00000164877",1811.57057814793,3.03642631436129,0.112792019085887,2.30000298862822e-160,8.11577561520591e-159,"79778","MICALL2","protein_coding","HGNC Symbol",15,"MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]"
"ENSG00000171843",1105.09064262452,-3.08555072765207,0.114650050626087,2.7439631349948e-160,9.66738863764371e-159,"4300","MLLT3","protein_coding","HGNC Symbol",10,"MLLT3 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]"
"ENSG00000170689",891.298228587424,6.33032865394858,0.234799634681818,3.84560137623081e-160,1.35277472140754e-158,"3219","HOXB9","protein_coding","HGNC Symbol",1,"homeobox B9 [Source:HGNC Symbol;Acc:HGNC:5120]"
"ENSG00000119986",1346.53974393686,-4.46540984962519,0.166186224532235,5.128443366391e-160,1.80126710853395e-158,"60370","AVPI1","protein_coding","HGNC Symbol",1,"arginine vasopressin induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]"
"ENSG00000120318",1068.38539041478,5.55776446491855,0.206971871629025,5.20456777029306e-160,1.82519634709356e-158,"64411","ARAP3","protein_coding","HGNC Symbol",7,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]"
"ENSG00000047579",1986.25032682911,-2.33745511349532,0.086987669215022,8.09082929084783e-160,2.8330311765346e-158,"84062","DTNBP1","protein_coding","HGNC Symbol",12,"dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]"
"ENSG00000214269",581.793192812665,-6.8656426759964,0.25453085002553,1.37864454722655e-159,4.81997779681195e-158,"NA","LGMNP1","processed_pseudogene","HGNC Symbol",1,"legumain pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23079]"
"ENSG00000067057",4093.72480341076,2.0027015089071,0.0745841907245704,1.50715319364571e-159,5.2612090842403e-158,"5214","PFKP","protein_coding","HGNC Symbol",12,"phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]"
