"experiment","condition","sample","sample_label","ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","normalized_count"
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000003056","4074","M6PR","protein_coding",3111.97405618948
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000003056","4074","M6PR","protein_coding",3152.65145689402
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000003056","4074","M6PR","protein_coding",2588.3393927653
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000003056","4074","M6PR","protein_coding",3113.55487335666
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000003056","4074","M6PR","protein_coding",2749.33660010404
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000003056","4074","M6PR","protein_coding",2687.81234103038
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000003096","90293","KLHL13","protein_coding",45.2676900346195
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000003096","90293","KLHL13","protein_coding",64.5869696674832
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000003096","90293","KLHL13","protein_coding",29.7602726949397
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000003096","90293","KLHL13","protein_coding",81.6777249044244
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000003096","90293","KLHL13","protein_coding",63.8471532725582
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000003096","90293","KLHL13","protein_coding",83.0729636808991
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000003137","56603","CYP26B1","protein_coding",254.361305908814
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000003137","56603","CYP26B1","protein_coding",201.834280210885
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000003137","56603","CYP26B1","protein_coding",208.321908864578
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000003137","56603","CYP26B1","protein_coding",24.5033174713273
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000003137","56603","CYP26B1","protein_coding",41.6961000963646
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000003137","56603","CYP26B1","protein_coding",64.3145525271477
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000003147","3382","ICA1","protein_coding",193.285851100201
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000003147","3382","ICA1","protein_coding",243.931144369155
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000003147","3382","ICA1","protein_coding",390.905203506505
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000003147","3382","ICA1","protein_coding",470.463695449484
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000003147","3382","ICA1","protein_coding",479.505151108192
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000003147","3382","ICA1","protein_coding",534.614717881915
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000003249","79007","DBNDD1","protein_coding",197.597059674926
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000003249","79007","DBNDD1","protein_coding",253.157854321653
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000003249","79007","DBNDD1","protein_coding",246.125498504096
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000003249","79007","DBNDD1","protein_coding",55.5408529350086
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000003249","79007","DBNDD1","protein_coding",75.5741814246608
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000003249","79007","DBNDD1","protein_coding",80.3931906589346
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000003393","57679","ALS2","protein_coding",1362.34190961331
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000003393","57679","ALS2","protein_coding",1343.63963683246
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000003393","57679","ALS2","protein_coding",1241.08380454843
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000003393","57679","ALS2","protein_coding",2600.61876095687
"humanKD","Control","sample.jh_2_002_2","Control 2","ENSG00000003393","57679","ALS2","protein_coding",2669.85340929534
"humanKD","Control","sample.jh_2_002_1","Control 1","ENSG00000003393","57679","ALS2","protein_coding",2576.60176061886
"humanKD","KD","sample.shrubr5_3_2002","KD 3 2002","ENSG00000003400","843","CASP10","protein_coding",30.8969947855339
"humanKD","KD","sample.shrubr5_2_2002","KD 2 2002","ENSG00000003400","843","CASP10","protein_coding",41.5201947862392
"humanKD","KD","sample.shrubr5_1_2002","KD 1 2002","ENSG00000003400","843","CASP10","protein_coding",29.7602726949397
"humanKD","Control","sample.jh_2_002_3","Control 3","ENSG00000003400","843","CASP10","protein_coding",0
