"ensembl_gene_id","sample.WT_1","sample.WT_2","sample.WT_3","sample.pos.neg_1","sample.pos.neg_2","sample.pos.neg_3"
"ENSMUSG00000025037",2342.49662697915,2517.26917528396,2305.19850880881,2153.12381805108,2375.15774575225,2612.55680782887
"ENSMUSG00000025040",496.86808766307,561.918108885711,509.424677958648,568.639533292232,605.410664923803,611.529947778476
"ENSMUSG00000025041",744.887383508242,686.903570604775,691.905159615477,808.005250591836,719.409382450588,714.922639980198
"ENSMUSG00000025047",2671.8065281515,3037.86977616337,4011.80574066756,3388.48444684611,4139.37090825415,4640.06228417483
"ENSMUSG00000025049",420.554458172248,387.351637559084,454.818776250733,667.888733148165,824.553830654905,788.054056415562
"ENSMUSG00000025050",442.950849435859,448.294961868379,503.894966393289,720.432427189542,769.214647389475,843.533061987217
"ENSMUSG00000025059",952.261376689824,733.385767111865,753.42320078009,1042.70041730999,1033.73594339823,835.967743045628
"ENSMUSG00000025060",2762.22158917867,2570.98193569216,3034.42922149045,4133.4372645883,4589.83186003475,4381.58055367052
"ENSMUSG00000025064",19.9079033454319,9.29643930141801,6.91213945669807,14.0116517443671,12.1746203183946,15.1306378831788
"ENSMUSG00000025066",3651.44127194129,3584.29381954672,3709.74524640986,4948.44834105232,4905.2652046477,4972.93631760476
"ENSMUSG00000025068",5724.35170778439,7952.58735351303,5437.0888966387,11210.489033139,11538.2197108421,11875.0289653148
"ENSMUSG00000025069",60.5532060090219,80.5691406122894,30.4134136094715,148.289980961219,75.2612892409846,92.0447137893376
"ENSMUSG00000025076",185.807097890697,177.6652844271,185.245337439508,198.498399711867,160.483631469747,171.480562676026
"ENSMUSG00000025077",552.444317835734,599.103866091383,659.418104168996,929.439565709685,962.90178881848,893.968521597813
"ENSMUSG00000025078",1102.40014775329,1295.30387599758,1515.14096890822,1526.10240249065,1902.56112066548,1858.54668665046
"ENSMUSG00000025083",42.3042946090427,36.1528195055145,32.4870554464809,1.16763764536393,1.1067836653086,1.2608864902649
"ENSMUSG00000025085",147.650283145286,85.7338291130772,81.5632455890372,0,4.42713466123439,0
"ENSMUSG00000025086",434.655889708596,436.932647166646,514.954389524006,458.881594628023,505.800135046029,571.181580089999
"ENSMUSG00000025089",585.624156744787,862.50297963156,567.486649394912,791.658323556741,1527.36145812586,1341.58322564185
"ENSMUSG00000025092",97.0510288089803,95.0302684144952,80.1808176976976,72.3935340125634,92.9698278859222,50.435459610596
"ENSMUSG00000025094",107.004980481696,79.5362029121318,103.682091850471,156.463444478766,173.76503545345,151.306378831788
"ENSMUSG00000025102",218.98693679975,251.003861138286,204.599327918263,225.354065555238,210.288896408634,235.785773679536
"ENSMUSG00000025103",1490.60426298921,1685.75432665713,1714.21058526112,1547.1198801072,1612.58380035463,1772.80640531245
"ENSMUSG00000025104",929.035489453487,894.524048336444,1016.77571408029,1047.37096789144,965.115356149097,1134.79784123841
"ENSMUSG00000025105",58.8942140635693,54.7456981083505,49.7674040882261,96.9139245652058,52.0188322695041,63.0443245132449
"ENSMUSG00000025128",773.919742553664,836.67953712762,880.606566783334,924.769015128229,965.115356149097,814.532672711125
"ENSMUSG00000025130",39571.1053789095,45548.4208261476,41154.1871112346,31511.0371354363,29904.187852973,33206.7066076164
"ENSMUSG00000025132",15127.51805461,18564.9892849318,19941.5223325739,12036.0088484113,14428.0318609629,14236.669361581
"ENSMUSG00000025133",1227.65403963496,1460.57390802278,1643.01554885713,929.439565709685,1128.91933861477,1163.7982305145
"ENSMUSG00000025134",6208.77735585656,7103.51256398351,7749.19954490421,3948.9505166208,4776.87829947191,4849.3694415588
"ENSMUSG00000025135",2443.69513565176,3361.17927631269,3104.93304394877,2039.86296645078,1974.50205891054,2233.02997425914
"ENSMUSG00000025137",2231.34416663382,2296.22050745025,2314.87550404818,1326.43636513342,1306.00472506415,1535.75974514265
"ENSMUSG00000025138",549.955829917555,629.059059395952,463.113343598771,361.967670062817,312.112993617025,273.612368387483
"ENSMUSG00000025139",1475.67333548014,1550.43948793649,1732.87336179421,1421.0150144079,1503.01221748908,1589.97786422404
"ENSMUSG00000025140",216.498448881572,204.521664631196,136.860361242622,203.168950293323,190.366790433079,151.306378831788
