experiment,contrast,tf,score,padj,n_targets
mouseKD,KD_vs_Control,Mesp2,-1.0420544120093649,0.5804304480552673,5
mouseKD,KD_vs_Control,Mybl1,1.0426732102395215,0.5804304480552673,8
mouseKD,KD_vs_Control,Tfap2b,-1.047161384175114,0.5804304480552673,15
mouseKD,KD_vs_Control,Trim28,-1.0494631635132323,0.5804304480552673,8
mouseKD,KD_vs_Control,Yy1,1.042496003104772,0.5804304480552673,169
mouseKD,KD_vs_Control,Etv5,1.0341132800214632,0.5831940770149231,10
mouseKD,KD_vs_Control,Hoxa7,1.0360946613059159,0.5831940770149231,13
mouseKD,KD_vs_Control,Nfya,1.0331986294046909,0.5831940770149231,72
mouseKD,KD_vs_Control,Pbrm1,-1.0209881011992166,0.5916162133216858,7
mouseKD,KD_vs_Control,Pitx1,1.0200657349160243,0.5916162133216858,22
mouseKD,KD_vs_Control,Hoxa13,-1.0007334060393802,0.6076077222824097,6
mouseKD,KD_vs_Control,Nr1h2,-0.9961844800411335,0.6100238561630249,35
mouseKD,KD_vs_Control,Id3,-0.9913009344937509,0.6127560138702393,29
mouseKD,KD_vs_Control,Mnt,0.9889817413932681,0.6131072044372559,8
