"gene_set","sample","ssgsea_score","sample_label","condition","experiment"
"HALLMARK_MTORC1_SIGNALING","sample.jh_2_002_1",0.653466903570463,"Control 1","Control","humanKD"
"HALLMARK_MYC_TARGETS_V1","sample.shrubr5_3_2002",0.843933600894495,"KD 3 2002","KD","humanKD"
"HALLMARK_MYC_TARGETS_V1","sample.shrubr5_2_2002",0.845702204989707,"KD 2 2002","KD","humanKD"
"HALLMARK_MYC_TARGETS_V1","sample.shrubr5_1_2002",0.833572216176935,"KD 1 2002","KD","humanKD"
"HALLMARK_MYC_TARGETS_V1","sample.jh_2_002_3",0.768430325812799,"Control 3","Control","humanKD"
"HALLMARK_MYC_TARGETS_V1","sample.jh_2_002_2",0.761877607111238,"Control 2","Control","humanKD"
"HALLMARK_MYC_TARGETS_V1","sample.jh_2_002_1",0.767015822632193,"Control 1","Control","humanKD"
"HALLMARK_MYC_TARGETS_V2","sample.shrubr5_3_2002",0.615798418827611,"KD 3 2002","KD","humanKD"
"HALLMARK_MYC_TARGETS_V2","sample.shrubr5_2_2002",0.615527418127618,"KD 2 2002","KD","humanKD"
"HALLMARK_MYC_TARGETS_V2","sample.shrubr5_1_2002",0.582253554489479,"KD 1 2002","KD","humanKD"
"HALLMARK_MYC_TARGETS_V2","sample.jh_2_002_3",0.453715433519907,"Control 3","Control","humanKD"
"HALLMARK_MYC_TARGETS_V2","sample.jh_2_002_2",0.453372560607664,"Control 2","Control","humanKD"
"HALLMARK_MYC_TARGETS_V2","sample.jh_2_002_1",0.445755035318229,"Control 1","Control","humanKD"
"HALLMARK_MYOGENESIS","sample.shrubr5_3_2002",0.317957676415136,"KD 3 2002","KD","humanKD"
"HALLMARK_MYOGENESIS","sample.shrubr5_2_2002",0.316395079749276,"KD 2 2002","KD","humanKD"
"HALLMARK_MYOGENESIS","sample.shrubr5_1_2002",0.296275178717723,"KD 1 2002","KD","humanKD"
"HALLMARK_MYOGENESIS","sample.jh_2_002_3",0.314270180278113,"Control 3","Control","humanKD"
"HALLMARK_MYOGENESIS","sample.jh_2_002_2",0.325344362361594,"Control 2","Control","humanKD"
"HALLMARK_MYOGENESIS","sample.jh_2_002_1",0.315604233963477,"Control 1","Control","humanKD"
"HALLMARK_NOTCH_SIGNALING","sample.shrubr5_3_2002",0.433573435322365,"KD 3 2002","KD","humanKD"
"HALLMARK_NOTCH_SIGNALING","sample.shrubr5_2_2002",0.442643214862127,"KD 2 2002","KD","humanKD"
"HALLMARK_NOTCH_SIGNALING","sample.shrubr5_1_2002",0.441270331377767,"KD 1 2002","KD","humanKD"
"HALLMARK_NOTCH_SIGNALING","sample.jh_2_002_3",0.476987419447758,"Control 3","Control","humanKD"
"HALLMARK_NOTCH_SIGNALING","sample.jh_2_002_2",0.492927642208757,"Control 2","Control","humanKD"
"HALLMARK_NOTCH_SIGNALING","sample.jh_2_002_1",0.484770402160138,"Control 1","Control","humanKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.shrubr5_3_2002",0.546713278135105,"KD 3 2002","KD","humanKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.shrubr5_2_2002",0.548397835717436,"KD 2 2002","KD","humanKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.shrubr5_1_2002",0.535913791561092,"KD 1 2002","KD","humanKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.jh_2_002_3",0.505219936948334,"Control 3","Control","humanKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.jh_2_002_2",0.507595053982545,"Control 2","Control","humanKD"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","sample.jh_2_002_1",0.512630085785344,"Control 1","Control","humanKD"
"HALLMARK_P53_PATHWAY","sample.shrubr5_3_2002",0.416412470203081,"KD 3 2002","KD","humanKD"
"HALLMARK_P53_PATHWAY","sample.shrubr5_2_2002",0.414907633191979,"KD 2 2002","KD","humanKD"
"HALLMARK_P53_PATHWAY","sample.shrubr5_1_2002",0.415939659335407,"KD 1 2002","KD","humanKD"
"HALLMARK_P53_PATHWAY","sample.jh_2_002_3",0.396807051461329,"Control 3","Control","humanKD"
"HALLMARK_P53_PATHWAY","sample.jh_2_002_2",0.40633692794119,"Control 2","Control","humanKD"
"HALLMARK_P53_PATHWAY","sample.jh_2_002_1",0.400646669175431,"Control 1","Control","humanKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.shrubr5_3_2002",-0.0351812040376759,"KD 3 2002","KD","humanKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.shrubr5_2_2002",-0.0306508107547815,"KD 2 2002","KD","humanKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.shrubr5_1_2002",-0.014816518786267,"KD 1 2002","KD","humanKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.jh_2_002_3",0.00831358586264488,"Control 3","Control","humanKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.jh_2_002_2",0.00133260375720374,"Control 2","Control","humanKD"
"HALLMARK_PANCREAS_BETA_CELLS","sample.jh_2_002_1",0.0070321488471715,"Control 1","Control","humanKD"
"HALLMARK_PEROXISOME","sample.shrubr5_3_2002",0.388683362786163,"KD 3 2002","KD","humanKD"
"HALLMARK_PEROXISOME","sample.shrubr5_2_2002",0.390467629143899,"KD 2 2002","KD","humanKD"
